vtkCompositeIndexArray,vtkOriginalIndices,vtkOriginalCellIds,Cell Type,GlobalElementId,ObjectId,PedigreeElementId,__vtkIsSelected__,aux_poissons_ratio,aux_youngs_modulus
2,0,28,23,1789,1,1789,0,0.363418,72242700000
2,1,29,23,1790,1,1790,0,0.363433,72233000000
2,2,30,23,1791,1,1791,0,0.363443,72226100000
2,3,31,23,1792,1,1792,0,0.363448,72222900000
2,4,32,23,1793,1,1793,0,0.363597,72124500000
2,5,33,23,1794,1,1794,0,0.363654,72086600000
2,6,34,23,1795,1,1795,0,0.363695,72059800000
2,7,35,23,1796,1,1796,0,0.363713,72047500000
,,,,,,,,0.363550125,72155387500
