vtkCompositeIndexArray,vtkOriginalIndices,vtkOriginalCellIds,Cell Type,GlobalElementId,ObjectId,PedigreeElementId,__vtkIsSelected__,aux_poissons_ratio,aux_youngs_modulus
2,0,72,23,1833,1,1833,0,0.365303,71312500000
2,1,73,23,1834,1,1834,0,0.365881,70943200000
2,2,74,23,1835,1,1835,0,0.366482,70563800000
2,3,75,23,1836,1,1836,0,0.367107,70173600000
2,4,76,23,1837,1,1837,0,0.365362,71294300000
2,5,77,23,1838,1,1838,0,0.365958,70914100000
2,6,78,23,1839,1,1839,0,0.366577,70523600000
2,7,79,23,1840,1,1840,0,0.367221,70122000000
2,8,80,23,1841,1,1841,0,0.365421,71271200000
2,9,81,23,1842,1,1842,0,0.366034,70880300000
2,10,82,23,1843,1,1843,0,0.366671,70478700000
2,11,83,23,1844,1,1844,0,0.367335,70065800000
,,,,,,,,0.366279333333333,70711925000
