vtkCompositeIndexArray,vtkOriginalIndices,vtkOriginalCellIds,Cell Type,GlobalElementId,PedigreeElementId,__vtkIsSelected__,aux_poissons_ratio,aux_youngs_modulus
2,0,540,23,2301,2301,0,0.365742,71102200000
2,1,541,23,2302,2302,0,0.366485,70631800000
2,2,542,23,2303,2303,0,0.367262,70147100000
2,3,543,23,2304,2304,0,0.368073,69648400000
2,4,544,23,2305,2305,0,0.365769,71085100000
2,5,545,23,2306,2306,0,0.366517,70611400000
2,6,546,23,2307,2307,0,0.367297,70125200000
2,7,547,23,2308,2308,0,0.36811,69626000000
2,8,548,23,2309,2309,0,0.365768,71085600000
2,9,549,23,2310,2310,0,0.366516,70612400000
2,10,550,23,2311,2311,0,0.367294,70127000000
2,11,551,23,2312,2312,0,0.368105,69628800000
2,12,552,23,2313,2313,0,0.365762,71089700000
2,13,553,23,2314,2314,0,0.366508,70617500000
2,14,554,23,2315,2315,0,0.367284,70133200000
2,15,555,23,2316,2316,0,0.368093,69636100000
2,16,556,23,2317,2317,0,0.365755,71094300000
2,17,557,23,2318,2318,0,0.366498,70623300000
2,18,558,23,2319,2319,0,0.367273,70140100000
2,19,559,23,2320,2320,0,0.36808,69644100000
2,20,560,23,2321,2321,0,0.365747,71099100000
2,21,561,23,2322,2322,0,0.366489,70629300000
2,22,562,23,2323,2323,0,0.367261,70147300000
2,23,563,23,2324,2324,0,0.368066,69652500000
2,24,564,23,2325,2325,0,0.365739,71104100000
2,25,565,23,2326,2326,0,0.366479,70635500000
2,26,566,23,2327,2327,0,0.367249,70154700000
2,27,567,23,2328,2328,0,0.368052,69661200000
2,28,568,23,2329,2329,0,0.365731,71109000000
2,29,569,23,2330,2330,0,0.366469,70641500000
2,30,570,23,2331,2331,0,0.367238,70162000000
2,31,571,23,2332,2332,0,0.368038,69669600000
2,32,572,23,2333,2333,0,0.365724,71113600000
2,33,573,23,2334,2334,0,0.36646,70647200000
2,34,574,23,2335,2335,0,0.367226,70168800000
2,35,575,23,2336,2336,0,0.368025,69677600000
2,36,576,23,2337,2337,0,0.365715,71118300000
2,37,577,23,2338,2338,0,0.366449,70653200000
2,38,578,23,2339,2339,0,0.367213,70176000000
2,39,579,23,2340,2340,0,0.36801,69686100000
2,40,580,23,2341,2341,0,0.365705,71124300000
2,41,581,23,2342,2342,0,0.366436,70660700000
2,42,582,23,2343,2343,0,0.367198,70185100000
2,43,583,23,2344,2344,0,0.367991,69696700000
2,44,584,23,2345,2345,0,0.365687,71135000000
2,45,585,23,2346,2346,0,0.366414,70673900000
2,46,586,23,2347,2347,0,0.367172,70200300000
2,47,587,23,2348,2348,0,0.367962,69713600000
2,48,588,23,2349,2349,0,0.365637,71166000000
2,49,589,23,2350,2350,0,0.366353,70711800000
2,50,590,23,2351,2351,0,0.367101,70243300000
2,51,591,23,2352,2352,0,0.367884,69760700000
,,,,,,,0.366867519230769,70395909615.3846
