vtkCompositeIndexArray,vtkOriginalIndices,vtkOriginalCellIds,Cell Type,GlobalElementId,ObjectId,PedigreeElementId,__vtkIsSelected__,aux_poissons_ratio,aux_youngs_modulus
2,0,56,23,1817,1,1817,0,0.365082,71298600000
2,1,57,23,1818,1,1818,0,0.365596,70969400000
2,2,58,23,1819,1,1819,0,0.366131,70629900000
2,3,59,23,1820,1,1820,0,0.36669,70279000000
2,4,60,23,1821,1,1821,0,0.365142,71314900000
2,5,61,23,1822,1,1822,0,0.365673,70975100000
2,6,62,23,1823,1,1823,0,0.366224,70625800000
2,7,63,23,1824,1,1824,0,0.366797,70266600000
2,8,64,23,1825,1,1825,0,0.365192,71325400000
2,9,65,23,1826,1,1826,0,0.365737,70976500000
2,10,66,23,1827,1,1827,0,0.366303,70618100000
2,11,67,23,1828,1,1828,0,0.366892,70249500000
2,12,68,23,1829,1,1829,0,0.365246,71324000000
2,13,69,23,1830,1,1830,0,0.365807,70965300000
2,14,70,23,1831,1,1831,0,0.366389,70596800000
2,15,71,23,1832,1,1832,0,0.366995,70217900000
,,,,,,,,0.3659935,70789550000
