vtkCompositeIndexArray,vtkOriginalIndices,vtkOriginalCellIds,Cell Type,GlobalElementId,PedigreeElementId,__vtkIsSelected__,aux_poissons_ratio,aux_youngs_modulus
2,0,652,23,2413,2413,0,0.364603,71649000000
2,1,653,23,2414,2414,0,0.365029,71373600000
2,2,654,23,2415,2415,0,0.365487,71079400000
2,3,655,23,2416,2416,0,0.365984,70763100000
2,4,656,23,2417,2417,0,0.364017,71971900000
2,5,657,23,2418,2418,0,0.364255,71816000000
2,6,658,23,2419,2419,0,0.364501,71655900000
2,7,659,23,2420,2420,0,0.364756,71491300000
,,,,,,,0.364829,71475025000
