vtkCompositeIndexArray,vtkOriginalIndices,vtkOriginalCellIds,Cell Type,GlobalElementId,ObjectId,PedigreeElementId,__vtkIsSelected__,aux_poissons_ratio,aux_youngs_modulus
2,0,48,23,1809,1,1809,0,0.364899,71278600000
2,1,49,23,1810,1,1810,0,0.365356,70984900000
2,2,50,23,1811,1,1811,0,0.365831,70682800000
2,3,51,23,1812,1,1812,0,0.366324,70372000000
2,4,52,23,1813,1,1813,0,0.364993,71285100000
2,5,53,23,1814,1,1814,0,0.365478,70973600000
2,6,54,23,1815,1,1815,0,0.365982,70653400000
2,7,55,23,1816,1,1816,0,0.366506,70324000000
,,,,,,,,0.365671125,70819300000
