vtkCompositeIndexArray,vtkOriginalIndices,vtkOriginalCellIds,Cell Type,GlobalElementId,ObjectId,PedigreeElementId,__vtkIsSelected__,aux_poissons_ratio,aux_youngs_modulus
2,0,228,23,1989,1,1989,0,0.365879,71015300000
2,1,229,23,1990,1,1990,0,0.366638,70535500000
2,2,230,23,1991,1,1991,0,0.367431,70042100000
2,3,231,23,1992,1,1992,0,0.368258,69536000000
2,4,232,23,1993,1,1993,0,0.365888,71009600000
2,5,233,23,1994,1,1994,0,0.366648,70529400000
2,6,234,23,1995,1,1995,0,0.36744,70036900000
2,7,235,23,1996,1,1996,0,0.368264,69531900000
2,8,236,23,1997,1,1997,0,0.365884,71011900000
2,9,237,23,1998,1,1998,0,0.366643,70532500000
2,10,238,23,1999,1,1999,0,0.367433,70041000000
2,11,239,23,2000,1,2000,0,0.368256,69536800000
2,12,240,23,2001,1,2001,0,0.365881,71013900000
2,13,241,23,2002,1,2002,0,0.366639,70534900000
2,14,242,23,2003,1,2003,0,0.367429,70043800000
2,15,243,23,2004,1,2004,0,0.368251,69539700000
2,16,244,23,2005,1,2005,0,0.365879,71014900000
2,17,245,23,2006,1,2006,0,0.366637,70536000000
2,18,246,23,2007,1,2007,0,0.367427,70044900000
2,19,247,23,2008,1,2008,0,0.368249,69540900000
2,20,248,23,2009,1,2009,0,0.365879,71015200000
2,21,249,23,2010,1,2010,0,0.366637,70536200000
2,22,250,23,2011,1,2011,0,0.367427,70045000000
2,23,251,23,2012,1,2012,0,0.36825,69540800000
2,24,252,23,2013,1,2013,0,0.365879,71015200000
2,25,253,23,2014,1,2014,0,0.366637,70536100000
2,26,254,23,2015,1,2015,0,0.367427,70044700000
2,27,255,23,2016,1,2016,0,0.36825,69540300000
2,28,256,23,2017,1,2017,0,0.365879,71015300000
2,29,257,23,2018,1,2018,0,0.366638,70536000000
2,30,258,23,2019,1,2019,0,0.367428,70044400000
2,31,259,23,2020,1,2020,0,0.368251,69539800000
2,32,260,23,2021,1,2021,0,0.365878,71015400000
2,33,261,23,2022,1,2022,0,0.366638,70536000000
2,34,262,23,2023,1,2023,0,0.367428,70044300000
2,35,263,23,2024,1,2024,0,0.368252,69539500000
2,36,264,23,2025,1,2025,0,0.365878,71015700000
2,37,265,23,2026,1,2026,0,0.366637,70536100000
2,38,266,23,2027,1,2027,0,0.367428,70044300000
2,39,267,23,2028,1,2028,0,0.368252,69539400000
2,40,268,23,2029,1,2029,0,0.365876,71016800000
2,41,269,23,2030,1,2030,0,0.366636,70537200000
2,42,270,23,2031,1,2031,0,0.367427,70045200000
2,43,271,23,2032,1,2032,0,0.368251,69540200000
2,44,272,23,2033,1,2033,0,0.365868,71022500000
2,45,273,23,2034,1,2034,0,0.366626,70543700000
2,46,274,23,2035,1,2035,0,0.367416,70052100000
2,47,275,23,2036,1,2036,0,0.36824,69546800000
2,48,276,23,2037,1,2037,0,0.365825,71050000000
2,49,277,23,2038,1,2038,0,0.366573,70576800000
2,50,278,23,2039,1,2039,0,0.367357,70088700000
2,51,279,23,2040,1,2040,0,0.368179,69583900000
,,,,,,,,0.36704425,70286759615.3846
