vtkCompositeIndexArray,vtkOriginalIndices,vtkOriginalCellIds,Cell Type,GlobalElementId,ObjectId,PedigreeElementId,__vtkIsSelected__,aux_poissons_ratio,aux_youngs_modulus
2,0,164,23,1925,1,1925,0,0.36588,71013900000
2,1,165,23,1926,1,1926,0,0.366637,70536000000
2,2,166,23,1927,1,1927,0,0.367433,70040800000
2,3,167,23,1928,1,1928,0,0.368276,69524800000
2,4,168,23,1929,1,1929,0,0.3659,71001700000
2,5,169,23,1930,1,1930,0,0.366659,70522200000
2,6,170,23,1931,1,1931,0,0.36745,70030300000
2,7,171,23,1932,1,1932,0,0.368276,69524700000
2,8,172,23,1933,1,1933,0,0.365894,71005500000
2,9,173,23,1934,1,1934,0,0.366652,70527200000
2,10,174,23,1935,1,1935,0,0.36744,70036800000
2,11,175,23,1936,1,1936,0,0.368261,69533700000
2,12,176,23,1937,1,1937,0,0.365889,71008900000
2,13,177,23,1938,1,1938,0,0.366645,70531300000
2,14,178,23,1939,1,1939,0,0.367432,70041700000
2,15,179,23,1940,1,1940,0,0.368252,69539200000
2,16,180,23,1941,1,1941,0,0.365886,71010700000
2,17,181,23,1942,1,1942,0,0.366641,70533500000
2,18,182,23,1943,1,1943,0,0.367428,70044200000
2,19,183,23,1944,1,1944,0,0.368248,69541800000
2,20,184,23,1945,1,1945,0,0.365884,71011800000
2,21,185,23,1946,1,1946,0,0.366639,70534800000
2,22,186,23,1947,1,1947,0,0.367426,70045600000
2,23,187,23,1948,1,1948,0,0.368245,69543400000
2,24,188,23,1949,1,1949,0,0.365883,71012500000
2,25,189,23,1950,1,1950,0,0.366638,70535500000
2,26,190,23,1951,1,1951,0,0.367425,70046300000
2,27,191,23,1952,1,1952,0,0.368244,69544000000
2,28,192,23,1953,1,1953,0,0.365883,71012700000
2,29,193,23,1954,1,1954,0,0.366638,70535600000
2,30,194,23,1955,1,1955,0,0.367425,70046300000
2,31,195,23,1956,1,1956,0,0.368244,69544000000
2,32,196,23,1957,1,1957,0,0.365882,71012800000
2,33,197,23,1958,1,1958,0,0.366638,70535600000
2,34,198,23,1959,1,1959,0,0.367425,70046000000
2,35,199,23,1960,1,1960,0,0.368245,69543500000
2,36,200,23,1961,1,1961,0,0.365883,71012500000
2,37,201,23,1962,1,1962,0,0.366639,70535000000
2,38,202,23,1963,1,1963,0,0.367426,70045200000
2,39,203,23,1964,1,1964,0,0.368247,69542500000
2,40,204,23,1965,1,1965,0,0.365885,71011300000
2,41,205,23,1966,1,1966,0,0.366642,70533200000
2,42,206,23,1967,1,1967,0,0.36743,70042900000
2,43,207,23,1968,1,1968,0,0.368251,69539900000
2,44,208,23,1969,1,1969,0,0.36589,71007900000
2,45,209,23,1970,1,1970,0,0.366649,70528600000
2,46,210,23,1971,1,1971,0,0.367439,70037400000
2,47,211,23,1972,1,1972,0,0.368261,69533700000
2,48,212,23,1973,1,1973,0,0.365902,71000400000
2,49,213,23,1974,1,1974,0,0.366665,70518900000
2,50,214,23,1975,1,1975,0,0.367458,70025600000
2,51,215,23,1976,1,1976,0,0.368283,69520700000
2,52,216,23,1977,1,1977,0,0.36592,70989200000
2,53,217,23,1978,1,1978,0,0.366689,70503500000
2,54,218,23,1979,1,1979,0,0.367491,70005400000
2,55,219,23,1980,1,1980,0,0.368322,69497100000
2,56,220,23,1981,1,1981,0,0.365847,71035300000
2,57,221,23,1982,1,1982,0,0.366594,70563100000
2,58,222,23,1983,1,1983,0,0.367379,70074700000
2,59,223,23,1984,1,1984,0,0.368213,69563300000
,,,,,,,,0.3670558,70279443333.3333
