vtkCompositeIndexArray,vtkOriginalIndices,vtkOriginalCellIds,Cell Type,GlobalElementId,ObjectId,PedigreeElementId,__vtkIsSelected__,aux_poissons_ratio,aux_youngs_modulus
2,0,40,23,1801,1,1801,0,0.364622,71452400000
2,1,41,23,1802,1,1802,0,0.365009,71202600000
2,2,42,23,1803,1,1803,0,0.365426,70935100000
2,3,43,23,1804,1,1804,0,0.36588,70647100000
2,4,44,23,1805,1,1805,0,0.364801,71336700000
2,5,45,23,1806,1,1806,0,0.365231,71060000000
2,6,46,23,1807,1,1807,0,0.36568,70773800000
2,7,47,23,1808,1,1808,0,0.366149,70477200000
,,,,,,,,0.36534975,70985612500
