vtkCompositeIndexArray,vtkOriginalIndices,vtkOriginalCellIds,Cell Type,GlobalElementId,PedigreeElementId,__vtkIsSelected__,aux_poissons_ratio,aux_youngs_modulus
2,0,600,23,2361,2361,0,0.365454,71280600000
2,1,601,23,2362,2362,0,0.366121,70855500000
2,2,602,23,2363,2363,0,0.366828,70411400000
2,3,603,23,2364,2364,0,0.367581,69944300000
2,4,604,23,2365,2365,0,0.365478,71263300000
2,5,605,23,2366,2366,0,0.366146,70837800000
2,6,606,23,2367,2367,0,0.366842,70400100000
2,7,607,23,2368,2368,0,0.36757,69948500000
2,8,608,23,2369,2369,0,0.365438,71285900000
2,9,609,23,2370,2370,0,0.366093,70868000000
2,10,610,23,2371,2371,0,0.366775,70438800000
2,11,611,23,2372,2372,0,0.367486,69997600000
2,12,612,23,2373,2373,0,0.365384,71317200000
2,13,613,23,2374,2374,0,0.366024,70908900000
2,14,614,23,2375,2375,0,0.366689,70489600000
2,15,615,23,2376,2376,0,0.367382,70058700000
2,16,616,23,2377,2377,0,0.365326,71350900000
2,17,617,23,2378,2378,0,0.365949,70952900000
2,18,618,23,2379,2379,0,0.366596,70544200000
2,19,619,23,2380,2380,0,0.36727,70124000000
2,20,620,23,2381,2381,0,0.365266,71385400000
2,21,621,23,2382,2382,0,0.365871,70998100000
2,22,622,23,2383,2383,0,0.3665,70600200000
2,23,623,23,2384,2384,0,0.367155,70191200000
,,,,,,,0.366384333333333,70685545833.3333
