GlobalNodeId,Points:0,Points:1
5870,0.00417978,0
5871,0.00417977,0.000374782
5856,0.00417975,0.000749535
5857,0.00417978,0.0011243
5841,0.00417976,0.00149893
5843,0.00417941,0.00187339
5840,0.00417955,0.00224711
8156,0.00417442,0.00263337
8149,0.0041698,0.00302255
8150,0.00416609,0.00341133
8135,0.00416249,0.00380061
8136,0.00415982,0.00419032
8121,0.00415796,0.0045801
8122,0.00415698,0.00497003
8107,0.00415683,0.00535993
8108,0.00415751,0.00574975
8093,0.00415866,0.00613936
8094,0.00416006,0.00652878
8079,0.00416148,0.00691814
8080,0.00416294,0.00730734
8065,0.00416438,0.00769657
8066,0.00416582,0.00808565
8051,0.00416718,0.00847477
8052,0.0041685,0.00886375
8037,0.00416977,0.00925279
8038,0.00417103,0.00964169
8023,0.00417225,0.0100306
8024,0.0041735,0.0104195
8009,0.00417467,0.0108083
8010,0.00417592,0.0111971
7995,0.00417711,0.0115859
7996,0.0041784,0.0119746
7981,0.00417973,0.0123634
7982,0.00418113,0.0127521
7967,0.0041828,0.0131408
7968,0.00418452,0.0135294
7953,0.00418679,0.0139181
7954,0.00418921,0.0143066
7939,0.00419215,0.0146945
7940,0.00419451,0.015083
7925,0.00419815,0.0154698
7926,0.00419642,0.0158561
7911,0.00419484,0.0162445
7912,0.00419388,0.0166325
7897,0.00419307,0.0170208
7898,0.00419301,0.0174092
7883,0.00419287,0.0177974
7884,0.00419315,0.0181857
7869,0.00419336,0.0185739
7870,0.00419373,0.018962
7855,0.00419407,0.0193501
7856,0.0041944,0.0197382
7841,0.00419473,0.0201262
7842,0.00419497,0.0205143
7827,0.00419521,0.0209023
7828,0.00419535,0.0212903
7813,0.0041955,0.0216783
7814,0.00419556,0.0220663
7799,0.0041956,0.0224543
7800,0.00419562,0.0228423
7785,0.00419558,0.0232304
7786,0.00419563,0.0236184
7771,0.00419559,0.0240065
7772,0.0041958,0.0243946
7757,0.00419595,0.0247828
7758,0.0041966,0.025171
7743,0.00419724,0.0255593
7744,0.00419876,0.0259475
7729,0.00420046,0.0263356
7730,0.00420304,0.0267235
7715,0.00420502,0.0271103
7716,0.00420517,0.0274971
7701,0.00420344,0.0278841
7702,0.00420111,0.0282716
7687,0.00419937,0.0286597
7688,0.00419806,0.0290479
7673,0.00419742,0.0294361
7674,0.00419694,0.0298243
7659,0.00419677,0.0302125
7660,0.00419675,0.0306006
7645,0.00419679,0.0309886
7646,0.00419692,0.0313766
7631,0.00419702,0.0317646
7632,0.00419714,0.0321525
7617,0.0041972,0.0325404
7618,0.00419723,0.0329284
7603,0.00419722,0.0333163
7604,0.00419716,0.0337042
7589,0.00419707,0.0340922
7590,0.00419692,0.0344801
7575,0.00419675,0.0348681
7576,0.00419657,0.0352561
7561,0.00419639,0.0356441
7562,0.00419626,0.0360321
7547,0.00419621,0.0364202
7548,0.00419629,0.0368084
7533,0.00419669,0.0371966
7534,0.00419721,0.0375848
7519,0.00419838,0.0379731
7520,0.0042,0.0383612
7505,0.00420218,0.0387489
7506,0.00420426,0.0391363
7491,0.00420469,0.039523
7492,0.00420304,0.0399097
7477,0.00420074,0.0402975
7478,0.00419905,0.0406855
7463,0.00419768,0.0410737
7464,0.0041971,0.041462
7449,0.00419665,0.0418501
7450,0.00419661,0.0422383
7435,0.00419661,0.0426264
7436,0.00419682,0.0430145
7421,0.00419698,0.0434024
7422,0.00419724,0.0437904
7407,0.00419743,0.0441783
7408,0.00419763,0.0445663
7393,0.00419777,0.0449542
7394,0.00419787,0.0453421
7379,0.00419795,0.04573
7380,0.00419795,0.0461179
7365,0.00419795,0.0465058
7366,0.00419789,0.0468937
7351,0.00419784,0.0472816
7352,0.00419777,0.0476696
7337,0.00419773,0.0480576
7338,0.00419782,0.0484456
7323,0.00419795,0.0488337
7324,0.00419847,0.0492218
7309,0.00419905,0.0496101
7310,0.00420045,0.0499982
7295,0.00420201,0.0503863
7296,0.00420467,0.0507743
7281,0.00420707,0.0511612
7282,0.00420756,0.0515479
7267,0.0042063,0.0519347
7268,0.0042037,0.0523218
7253,0.00420177,0.0527099
7254,0.00420023,0.053098
7239,0.00419946,0.0534862
7240,0.00419892,0.0538743
7225,0.00419876,0.0542624
7226,0.00419873,0.0546504
7211,0.00419883,0.0550384
7212,0.004199,0.0554263
7197,0.00419914,0.0558142
7198,0.00419936,0.0562021
7183,0.00419946,0.0565899
7184,0.00419962,0.0569778
7169,0.00419967,0.0573656
7170,0.00419973,0.0577534
7155,0.00419971,0.0581412
7156,0.00419966,0.0585291
7141,0.00419959,0.0589169
7142,0.00419947,0.0593048
7127,0.00419939,0.0596927
7128,0.0041993,0.0600806
7113,0.00419931,0.0604686
7114,0.00419945,0.0608566
7099,0.00419981,0.0612447
7100,0.00420049,0.0616327
7085,0.0042015,0.062021
7086,0.00420341,0.062409
7071,0.00420549,0.0627967
7072,0.00420831,0.0631842
7057,0.00420922,0.0635706
7058,0.00420763,0.0639569
7043,0.00420502,0.0643444
7044,0.00420294,0.0647321
7029,0.00420116,0.0651202
7030,0.00420024,0.0655084
7015,0.0041996,0.0658965
7016,0.00419929,0.0662846
7001,0.00419918,0.0666726
7002,0.00419918,0.0670605
6987,0.00419926,0.0674485
6988,0.00419937,0.0678363
6973,0.00419945,0.0682242
6974,0.00419955,0.068612
6959,0.00419957,0.0689999
6960,0.00419961,0.0693877
6945,0.00419955,0.0697755
6946,0.00419949,0.0701633
6931,0.00419935,0.0705512
6932,0.00419921,0.070939
6917,0.00419903,0.0713269
6918,0.00419884,0.0717148
6903,0.00419868,0.0721027
6904,0.00419857,0.0724907
6889,0.00419861,0.0728787
6890,0.00419882,0.0732668
6875,0.00419936,0.073655
6876,0.00420023,0.0740432
6861,0.00420186,0.0744313
6862,0.00420401,0.0748193
6847,0.00420647,0.0752065
6848,0.00420723,0.0755932
6833,0.00420645,0.0759799
6834,0.00420387,0.0763668
6819,0.0042017,0.0767548
6820,0.00419998,0.0771429
6805,0.00419895,0.0775311
6806,0.00419829,0.0779193
6791,0.00419797,0.0783074
6792,0.00419783,0.0786954
6777,0.00419786,0.0790834
6778,0.00419792,0.0794714
6763,0.00419804,0.0798593
6764,0.00419814,0.0802472
6749,0.00419822,0.0806351
6750,0.00419829,0.081023
6735,0.00419829,0.0814108
6736,0.00419829,0.0817987
6721,0.00419819,0.0821866
6722,0.00419812,0.0825745
6707,0.00419795,0.0829623
6708,0.00419781,0.0833502
6693,0.00419763,0.0837382
6694,0.00419749,0.0841261
6679,0.0041974,0.0845142
6680,0.00419742,0.0849022
6665,0.00419763,0.0852904
6666,0.00419811,0.0856785
6651,0.00419891,0.0860668
6652,0.00420044,0.0864549
6637,0.00420236,0.0868429
6638,0.004205,0.0872305
6623,0.00420623,0.0876171
6624,0.00420533,0.0880036
6609,0.00420311,0.088391
6610,0.00420104,0.0887786
6595,0.00419914,0.0891667
6596,0.00419821,0.0895551
6581,0.00419752,0.0899432
6582,0.00419722,0.0903314
6567,0.00419709,0.0907194
6568,0.00419712,0.0911075
6553,0.00419722,0.0914954
6554,0.00419734,0.0918834
6539,0.00419749,0.0922713
6540,0.00419759,0.0926592
6525,0.00419768,0.0930471
6526,0.00419773,0.093435
6511,0.00419772,0.0938229
6512,0.0041977,0.0942108
6497,0.00419759,0.0945987
6498,0.00419751,0.0949866
6483,0.00419734,0.0953745
6484,0.00419722,0.0957624
6469,0.00419707,0.0961504
6470,0.00419699,0.0965384
6455,0.00419701,0.0969265
6456,0.00419717,0.0973146
6441,0.00419766,0.0977028
6442,0.00419829,0.098091
6427,0.00419971,0.0984793
6428,0.00420204,0.0988674
6413,0.0042042,0.0992546
6414,0.00420506,0.0996414
6399,0.00420433,0.100028
6400,0.00420209,0.100415
6385,0.00419953,0.100803
6386,0.00419784,0.101191
6371,0.00419639,0.101579
6372,0.00419559,0.101968
6357,0.00419497,0.102356
6358,0.00419464,0.102744
6343,0.0041944,0.103132
6344,0.00419425,0.10352
6329,0.00419414,0.103908
6330,0.00419401,0.104296
6315,0.00419388,0.104685
6316,0.00419368,0.105073
6301,0.00419348,0.105461
6302,0.0041932,0.105849
6287,0.00419291,0.106237
6288,0.00419257,0.106625
6273,0.00419218,0.107013
6274,0.00419179,0.107401
6259,0.00419134,0.107789
6260,0.00419095,0.108177
6245,0.00419052,0.108566
6246,0.00419023,0.108954
6231,0.00418996,0.109342
6232,0.00418992,0.10973
6217,0.00419001,0.110119
6218,0.00419064,0.110507
6203,0.00419194,0.110895
6204,0.00419286,0.111283
6189,0.00419289,0.11167
6190,0.00418976,0.112058
6175,0.00418724,0.112446
6176,0.0041845,0.112834
6161,0.00418205,0.113223
6162,0.00418001,0.113612
6147,0.00417822,0.114
6148,0.00417668,0.114389
6133,0.00417523,0.114778
6134,0.00417392,0.115167
6119,0.00417262,0.115555
6120,0.00417137,0.115944
6105,0.0041701,0.116333
6106,0.00416879,0.116722
6091,0.00416743,0.117111
6092,0.00416601,0.1175
6077,0.00416455,0.117889
6078,0.00416308,0.118278
6063,0.00416159,0.118667
6064,0.00416026,0.119057
6049,0.00415927,0.119446
6050,0.00415881,0.119836
6035,0.00415869,0.120225
6036,0.00415882,0.120614
6021,0.00415914,0.121004
6022,0.00415947,0.121393
6007,0.00415983,0.121782
6008,0.00416019,0.122171
5993,0.00416058,0.12256
5994,0.0041609,0.122949
5979,0.00416143,0.123338
5980,0.00416211,0.123728
5965,0.00416323,0.124117
5966,0.00416488,0.124506
5951,0.00416708,0.124896
5952,0.00417022,0.125285
5936,0.00417341,0.125673
5938,0.00417776,0.126062
5935,0.00418273,0.126448
8198,0.00418164,0.126822
8191,0.00418112,0.127196
8192,0.00418024,0.127571
8176,0.00417927,0.127946
8178,0.0041782,0.128321
8175,0.0041769,0.128696
