vtkCompositeIndexArray,vtkOriginalIndices,vtkOriginalCellIds,Cell Type,GlobalElementId,PedigreeElementId,__vtkIsSelected__,aux_poissons_ratio,aux_youngs_modulus
2,0,476,23,2237,2237,0,0.365704,71125700000
2,1,477,23,2238,2238,0,0.366436,70661600000
2,2,478,23,2239,2239,0,0.367212,70176700000
2,3,479,23,2240,2240,0,0.368042,69666100000
2,4,480,23,2241,2241,0,0.365783,71075100000
2,5,481,23,2242,2242,0,0.366532,70601400000
2,6,482,23,2243,2243,0,0.367312,70114800000
2,7,483,23,2244,2244,0,0.368128,69613700000
2,8,484,23,2245,2245,0,0.365795,71067600000
2,9,485,23,2246,2246,0,0.366546,70592400000
2,10,486,23,2247,2247,0,0.367328,70104900000
2,11,487,23,2248,2248,0,0.368144,69604600000
2,12,488,23,2249,2249,0,0.365796,71066900000
2,13,489,23,2250,2250,0,0.366548,70591500000
2,14,490,23,2251,2251,0,0.36733,70103900000
2,15,491,23,2252,2252,0,0.368146,69603500000
2,16,492,23,2253,2253,0,0.365796,71067100000
2,17,493,23,2254,2254,0,0.366548,70591600000
2,18,494,23,2255,2255,0,0.36733,70103900000
2,19,495,23,2256,2256,0,0.368146,69603300000
2,20,496,23,2257,2257,0,0.365796,71067400000
2,21,497,23,2258,2258,0,0.366548,70591700000
2,22,498,23,2259,2259,0,0.367331,70103900000
2,23,499,23,2260,2260,0,0.368147,69603100000
2,24,500,23,2261,2261,0,0.365796,71067500000
2,25,501,23,2262,2262,0,0.366548,70591800000
2,26,502,23,2263,2263,0,0.367331,70103800000
2,27,503,23,2264,2264,0,0.368147,69602900000
2,28,504,23,2265,2265,0,0.365796,71067700000
2,29,505,23,2266,2266,0,0.366548,70591700000
2,30,506,23,2267,2267,0,0.367332,70103600000
2,31,507,23,2268,2268,0,0.368148,69602400000
2,32,508,23,2269,2269,0,0.365796,71067700000
2,33,509,23,2270,2270,0,0.366549,70591600000
2,34,510,23,2271,2271,0,0.367332,70103300000
2,35,511,23,2272,2272,0,0.368149,69602000000
2,36,512,23,2273,2273,0,0.365796,71067600000
2,37,513,23,2274,2274,0,0.366549,70591200000
2,38,514,23,2275,2275,0,0.367333,70102600000
2,39,515,23,2276,2276,0,0.368151,69601100000
2,40,516,23,2277,2277,0,0.365797,71067500000
2,41,517,23,2278,2278,0,0.36655,70590800000
2,42,518,23,2279,2279,0,0.367335,70101900000
2,43,519,23,2280,2280,0,0.368152,69600100000
2,44,520,23,2281,2281,0,0.365795,71068600000
2,45,521,23,2282,2282,0,0.366548,70591900000
2,46,522,23,2283,2283,0,0.367333,70102800000
2,47,523,23,2284,2284,0,0.368151,69600700000
2,48,524,23,2285,2285,0,0.365781,71077600000
2,49,525,23,2286,2286,0,0.366532,70602300000
2,50,526,23,2287,2287,0,0.367315,70113700000
2,51,527,23,2288,2288,0,0.368135,69610600000
2,52,528,23,2289,2289,0,0.365697,71130900000
2,53,529,23,2290,2290,0,0.366431,70665900000
2,54,530,23,2291,2291,0,0.367208,70180200000
2,55,531,23,2292,2292,0,0.368038,69669700000
,,,,,,,0.366937910714286,70352430357.1429
