vtkCompositeIndexArray,vtkOriginalIndices,vtkOriginalCellIds,Cell Type,GlobalElementId,PedigreeElementId,__vtkIsSelected__,aux_poissons_ratio,aux_youngs_modulus
2,0,292,23,2053,2053,0,0.365824,71051200000
2,1,293,23,2054,2054,0,0.366573,70577400000
2,2,294,23,2055,2055,0,0.367358,70088400000
2,3,295,23,2056,2056,0,0.368183,69582400000
2,4,296,23,2057,2057,0,0.36587,71021900000
2,5,297,23,2058,2058,0,0.36663,70541600000
2,6,298,23,2059,2059,0,0.367422,70048600000
2,7,299,23,2060,2060,0,0.368249,69541900000
2,8,300,23,2061,2061,0,0.36588,71015500000
2,9,301,23,2062,2062,0,0.366642,70533900000
2,10,302,23,2063,2063,0,0.367436,70039900000
2,11,303,23,2064,2064,0,0.368264,69532900000
2,12,304,23,2065,2065,0,0.365882,71013900000
2,13,305,23,2066,2066,0,0.366646,70531700000
2,14,306,23,2067,2067,0,0.367441,70037300000
2,15,307,23,2068,2068,0,0.368269,69529800000
2,16,308,23,2069,2069,0,0.365884,71013100000
2,17,309,23,2070,2070,0,0.366648,70530700000
2,18,310,23,2071,2071,0,0.367443,70035900000
2,19,311,23,2072,2072,0,0.368272,69528000000
2,20,312,23,2073,2073,0,0.365884,71012700000
2,21,313,23,2074,2074,0,0.366649,70530000000
2,22,314,23,2075,2075,0,0.367445,70034900000
2,23,315,23,2076,2076,0,0.368274,69526700000
2,24,316,23,2077,2077,0,0.365885,71012300000
2,25,317,23,2078,2078,0,0.36665,70529400000
2,26,318,23,2079,2079,0,0.367446,70034100000
2,27,319,23,2080,2080,0,0.368276,69525700000
2,28,320,23,2081,2081,0,0.365885,71011900000
2,29,321,23,2082,2082,0,0.366651,70528600000
2,30,322,23,2083,2083,0,0.367448,70033000000
2,31,323,23,2084,2084,0,0.368278,69524300000
2,32,324,23,2085,2085,0,0.365887,71011000000
2,33,325,23,2086,2086,0,0.366653,70527300000
2,34,326,23,2087,2087,0,0.367451,70031200000
2,35,327,23,2088,2088,0,0.368282,69522100000
2,36,328,23,2089,2089,0,0.365889,71009600000
2,37,329,23,2090,2090,0,0.366656,70525200000
2,38,330,23,2091,2091,0,0.367455,70028500000
2,39,331,23,2092,2092,0,0.368287,69518900000
2,40,332,23,2093,2093,0,0.365893,71007200000
2,41,333,23,2094,2094,0,0.366662,70521900000
2,42,334,23,2095,2095,0,0.367462,70024400000
2,43,335,23,2096,2096,0,0.368295,69514100000
2,44,336,23,2097,2097,0,0.365898,71004400000
2,45,337,23,2098,2098,0,0.366669,70517800000
2,46,338,23,2099,2099,0,0.367471,70019100000
2,47,339,23,2100,2100,0,0.368306,69507800000
2,48,340,23,2101,2101,0,0.365893,71007900000
2,49,341,23,2102,2102,0,0.366664,70520800000
2,50,342,23,2103,2103,0,0.367469,70020200000
2,51,343,23,2104,2104,0,0.368307,69507400000
,,,,,,,0.367060307692308,70277815384.6154
