vtkCompositeIndexArray,vtkOriginalIndices,vtkOriginalCellIds,Cell Type,GlobalElementId,PedigreeElementId,__vtkIsSelected__,aux_poissons_ratio,aux_youngs_modulus
2,0,624,23,2385,2385,0,0.365205,71420000000
2,1,625,23,2386,2386,0,0.365793,71043400000
2,2,626,23,2387,2387,0,0.366404,70656600000
2,3,627,23,2388,2388,0,0.367039,70258800000
2,4,628,23,2389,2389,0,0.365144,71453800000
2,5,629,23,2390,2390,0,0.365715,71088000000
2,6,630,23,2391,2391,0,0.366307,70712200000
2,7,631,23,2392,2392,0,0.366924,70325700000
2,8,632,23,2393,2393,0,0.365086,71483800000
2,9,633,23,2394,2394,0,0.365639,71128500000
2,10,634,23,2395,2395,0,0.366214,70763400000
2,11,635,23,2396,2396,0,0.366812,70388000000
2,12,636,23,2397,2397,0,0.365032,71502900000
2,13,637,23,2398,2398,0,0.365569,71157300000
2,14,638,23,2399,2399,0,0.366127,70802300000
2,15,639,23,2400,2400,0,0.366707,70437400000
2,16,640,23,2401,2401,0,0.364984,71512600000
2,17,641,23,2402,2402,0,0.365508,71175500000
2,18,642,23,2403,2403,0,0.366052,70829100000
2,19,643,23,2404,2404,0,0.366617,70472900000
2,20,644,23,2405,2405,0,0.364937,71515100000
2,21,645,23,2406,2406,0,0.365449,71185400000
2,22,646,23,2407,2407,0,0.365982,70846000000
2,23,647,23,2408,2408,0,0.366536,70496100000
2,24,648,23,2409,2409,0,0.364848,71536800000
2,25,649,23,2410,2410,0,0.365337,71221200000
2,26,650,23,2411,2411,0,0.365851,70893000000
2,27,651,23,2412,2412,0,0.366394,70550400000
,,,,,,,0.365864714285714,70959150000
