vtkCompositeIndexArray,vtkOriginalIndices,vtkOriginalCellIds,Cell Type,GlobalElementId,PedigreeElementId,__vtkIsSelected__,aux_poissons_ratio,aux_youngs_modulus
2,0,0,23,1761,1761,0,0.363265,72344900000
2,1,1,23,1762,1762,0,0.363278,72336300000
2,2,2,23,1763,1763,0,0.363285,72331000000
2,3,3,23,1764,1764,0,0.363287,72330000000
2,4,4,23,1765,1765,0,0.363223,72372400000
2,5,5,23,1766,1766,0,0.363228,72369500000
2,6,6,23,1767,1767,0,0.363231,72367100000
2,7,7,23,1768,1768,0,0.363234,72365500000
2,8,8,23,1769,1769,0,0.363211,72380400000
2,9,9,23,1770,1770,0,0.363213,72379300000
2,10,10,23,1771,1771,0,0.363215,72378300000
2,11,11,23,1772,1772,0,0.363216,72377500000
2,12,660,23,2421,2421,0,0.363451,72267700000
2,13,661,23,2422,2422,0,0.363508,72229800000
2,14,662,23,2423,2423,0,0.363548,72203500000
2,15,663,23,2424,2424,0,0.363565,72192300000
,,,,,,,0.363309875,72326593750
