vtkCompositeIndexArray,vtkOriginalIndices,vtkOriginalCellIds,Cell Type,GlobalElementId,ObjectId,PedigreeElementId,__vtkIsSelected__,aux_poissons_ratio,aux_youngs_modulus
2,0,104,23,1865,1,1865,0,0.365706,71114600000
2,1,105,23,1866,1,1866,0,0.366407,70670500000
2,2,106,23,1867,1,1867,0,0.367139,70212700000
2,3,107,23,1868,1,1868,0,0.367904,69741400000
2,4,108,23,1869,1,1869,0,0.36575,71089700000
2,5,109,23,1870,1,1870,0,0.366462,70638800000
2,6,110,23,1871,1,1871,0,0.367203,70175600000
2,7,111,23,1872,1,1872,0,0.367977,69699800000
2,8,112,23,1873,1,1873,0,0.365766,71081100000
2,9,113,23,1874,1,1874,0,0.366482,70627700000
2,10,114,23,1875,1,1875,0,0.367228,70162400000
2,11,115,23,1876,1,1876,0,0.368004,69684700000
2,12,116,23,1877,1,1877,0,0.365778,71074300000
2,13,117,23,1878,1,1878,0,0.366498,70618600000
2,14,118,23,1879,1,1879,0,0.367247,70151100000
2,15,119,23,1880,1,1880,0,0.368028,69671000000
2,16,120,23,1881,1,1881,0,0.365789,71068000000
2,17,121,23,1882,1,1882,0,0.366512,70610300000
2,18,122,23,1883,1,1883,0,0.367265,70140800000
2,19,123,23,1884,1,1884,0,0.368049,69658500000
2,20,124,23,1885,1,1885,0,0.365799,71062200000
2,21,125,23,1886,1,1886,0,0.366526,70602600000
2,22,126,23,1887,1,1887,0,0.367282,70131000000
2,23,127,23,1888,1,1888,0,0.36807,69646800000
2,24,128,23,1889,1,1889,0,0.365809,71056500000
2,25,129,23,1890,1,1890,0,0.366539,70595100000
2,26,130,23,1891,1,1891,0,0.367298,70121600000
2,27,131,23,1892,1,1892,0,0.368089,69635400000
2,28,132,23,1893,1,1893,0,0.365819,71050900000
2,29,133,23,1894,1,1894,0,0.366552,70587500000
2,30,134,23,1895,1,1895,0,0.367314,70112200000
2,31,135,23,1896,1,1896,0,0.368109,69624100000
2,32,136,23,1897,1,1897,0,0.365829,71045000000
2,33,137,23,1898,1,1898,0,0.366565,70579600000
2,34,138,23,1899,1,1899,0,0.367331,70102300000
2,35,139,23,1900,1,1900,0,0.368129,69612200000
2,36,140,23,1901,1,1901,0,0.36584,71038600000
2,37,141,23,1902,1,1902,0,0.366579,70571100000
2,38,142,23,1903,1,1903,0,0.367349,70091600000
2,39,143,23,1904,1,1904,0,0.368151,69599400000
2,40,144,23,1905,1,1905,0,0.365852,71031300000
2,41,145,23,1906,1,1906,0,0.366595,70561600000
2,42,146,23,1907,1,1907,0,0.367369,70079800000
2,43,147,23,1908,1,1908,0,0.368175,69585400000
2,44,148,23,1909,1,1909,0,0.365865,71022800000
2,45,149,23,1910,1,1910,0,0.366613,70550400000
2,46,150,23,1911,1,1911,0,0.367391,70066100000
2,47,151,23,1912,1,1912,0,0.368201,69569300000
2,48,152,23,1913,1,1913,0,0.365879,71014200000
2,49,153,23,1914,1,1914,0,0.366632,70538800000
2,50,154,23,1915,1,1915,0,0.367416,70051200000
2,51,155,23,1916,1,1916,0,0.368233,69550400000
2,52,156,23,1917,1,1917,0,0.365853,71030800000
2,53,157,23,1918,1,1918,0,0.366601,70558400000
2,54,158,23,1919,1,1919,0,0.367387,70068900000
2,55,159,23,1920,1,1920,0,0.368222,69557300000
,,,,,,,,0.366936732142857,70349892857.1429
