vtkCompositeIndexArray,vtkOriginalIndices,vtkOriginalCellIds,Cell Type,GlobalElementId,ObjectId,PedigreeElementId,__vtkIsSelected__,aux_poissons_ratio,aux_youngs_modulus
2,0,84,23,1845,1,1845,0,0.365475,71242600000
2,1,85,23,1846,1,1846,0,0.366104,70841700000
2,2,86,23,1847,1,1847,0,0.366759,70429700000
2,3,87,23,1848,1,1848,0,0.367441,70006000000
2,4,88,23,1849,1,1849,0,0.365514,71222100000
2,5,89,23,1850,1,1850,0,0.366157,70813300000
2,6,90,23,1851,1,1851,0,0.366826,70392600000
2,7,91,23,1852,1,1852,0,0.367526,69958600000
2,8,92,23,1853,1,1853,0,0.365491,71241300000
2,9,93,23,1854,1,1854,0,0.366133,70832600000
2,10,94,23,1855,1,1855,0,0.366813,70405400000
2,11,95,23,1856,1,1856,0,0.367538,69955300000
,,,,,,,,0.366481416666667,70611766666.6667
