vtkCompositeIndexArray,vtkOriginalIndices,vtkOriginalCellIds,Cell Type,GlobalElementId,PedigreeElementId,__vtkIsSelected__,aux_poissons_ratio,aux_youngs_modulus
2,0,344,23,2105,2105,0,0.365801,71066100000
2,1,345,23,2106,2106,0,0.366537,70600400000
2,2,346,23,2107,2107,0,0.3673,70125000000
2,3,347,23,2108,2108,0,0.368094,69637300000
2,4,348,23,2109,2109,0,0.365825,71050900000
2,5,349,23,2110,2110,0,0.366572,70578900000
2,6,350,23,2111,2111,0,0.367351,70093500000
2,7,351,23,2112,2112,0,0.368173,69589700000
,,,,,,,0.366956625,70342725000
