vtkCompositeIndexArray,vtkOriginalIndices,vtkOriginalCellIds,Cell Type,GlobalElementId,PedigreeElementId,__vtkIsSelected__,aux_poissons_ratio,aux_youngs_modulus
2,0,412,23,2173,2173,0,0.365821,71053000000
2,1,413,23,2174,2174,0,0.366575,70576000000
2,2,414,23,2175,2175,0,0.367367,70083000000
2,3,415,23,2176,2176,0,0.368204,69569400000
2,4,416,23,2177,2177,0,0.365858,71029500000
2,5,417,23,2178,2178,0,0.366623,70546000000
2,6,418,23,2179,2179,0,0.36742,70049800000
2,7,419,23,2180,2180,0,0.368252,69540200000
2,8,420,23,2181,2181,0,0.365851,71034000000
2,9,421,23,2182,2182,0,0.366613,70552100000
2,10,422,23,2183,2183,0,0.367407,70058200000
2,11,423,23,2184,2184,0,0.368233,69551700000
2,12,424,23,2185,2185,0,0.365842,71039100000
2,13,425,23,2186,2186,0,0.366603,70558600000
2,14,426,23,2187,2187,0,0.367394,70065900000
2,15,427,23,2188,2188,0,0.368219,69560300000
2,16,428,23,2189,2189,0,0.365836,71043000000
2,17,429,23,2190,2190,0,0.366595,70563400000
2,18,430,23,2191,2191,0,0.367385,70071600000
2,19,431,23,2192,2192,0,0.368208,69566800000
2,20,432,23,2193,2193,0,0.365831,71046100000
2,21,433,23,2194,2194,0,0.366588,70567300000
2,22,434,23,2195,2195,0,0.367377,70076200000
2,23,435,23,2196,2196,0,0.368199,69572100000
2,24,436,23,2197,2197,0,0.365827,71048600000
2,25,437,23,2198,2198,0,0.366583,70570300000
2,26,438,23,2199,2199,0,0.367371,70079800000
2,27,439,23,2200,2200,0,0.368192,69576200000
2,28,440,23,2201,2201,0,0.365823,71050600000
2,29,441,23,2202,2202,0,0.366579,70572800000
2,30,442,23,2203,2203,0,0.367366,70082700000
2,31,443,23,2204,2204,0,0.368186,69579500000
2,32,444,23,2205,2205,0,0.36582,71052600000
2,33,445,23,2206,2206,0,0.366575,70575100000
2,34,446,23,2207,2207,0,0.367361,70085400000
2,35,447,23,2208,2208,0,0.368181,69582600000
2,36,448,23,2209,2209,0,0.365817,71054600000
2,37,449,23,2210,2210,0,0.366571,70577500000
2,38,450,23,2211,2211,0,0.367357,70088200000
2,39,451,23,2212,2212,0,0.368175,69585900000
2,40,452,23,2213,2213,0,0.365814,71056400000
2,41,453,23,2214,2214,0,0.366568,70579600000
2,42,454,23,2215,2215,0,0.367353,70090600000
2,43,455,23,2216,2216,0,0.368171,69588700000
2,44,456,23,2217,2217,0,0.365811,71057800000
2,45,457,23,2218,2218,0,0.366565,70581100000
2,46,458,23,2219,2219,0,0.36735,70092300000
2,47,459,23,2220,2220,0,0.368167,69590700000
2,48,460,23,2221,2221,0,0.365807,71060500000
2,49,461,23,2222,2222,0,0.36656,70584000000
2,50,462,23,2223,2223,0,0.367345,70095200000
2,51,463,23,2224,2224,0,0.368162,69593700000
2,52,464,23,2225,2225,0,0.365783,71075800000
2,53,465,23,2226,2226,0,0.366531,70602100000
2,54,466,23,2227,2227,0,0.367313,70114700000
2,55,467,23,2228,2228,0,0.368129,69613900000
,,,,,,,0.366991321428571,70319871428.5714
