time,corrected_accel,corrected_disp,corrected_vel
0.255,-13.395620523034,-0.6904155750188,-4.9153437137513
0.26,-13.165022986644,-0.71515842863082,-4.9817453225255
0.265,-12.934425450253,-0.74023040781751,-5.0469939436177
0.27,-12.703827913863,-0.76562574764045,-5.111089577028
0.275,-12.473230377473,-0.79133868316124,-5.1740322227564
0.28,-12.242632841083,-0.81736344944146,-5.2358218808028
0.285,-12.012035304692,-0.84369428154272,-5.2964585511672
0.29,-11.781437768302,-0.87032541452659,-5.3559422338497
0.295,-11.550840231912,-0.89725108345466,-5.4142729288502
0.3,-11.320242695522,-0.92446552338854,-5.4714506361688
0.305,-11.089645159131,-0.9519629693898,-5.5274753558054
0.31,-10.859047622741,-0.97973765652004,-5.5823470877601
0.315,-10.628450086351,-1.0077838198409,-5.6360658320329
0.32,-10.397852549961,-1.0360956944138,-5.6886315886236
0.325,-10.16725501357,-1.0646675153005,-5.7400443575325
0.33,-9.9366574771801,-1.0934935175626,-5.7903041387593
0.335,-9.7060599407899,-1.1225679362616,-5.8394109323043
0.34,-9.4754624043996,-1.1518850064591,-5.8873647381672
0.345,-9.2448648680094,-1.1814389632167,-5.9341655563483
0.35,-9.0142673316191,-1.211224041596,-5.9798133868473
0.355,-8.7836697952289,-1.2412344766586,-6.0243082296644
0.36,-8.5530722588386,-1.2714645034661,-6.0676500847996
0.365,-8.3224747224483,-1.3019083570801,-6.1098389522528
0.37,-8.0918771860581,-1.3325602725621,-6.1508748320241
0.375,-7.8612796496678,-1.3634144849738,-6.1907577241134
0.38,-7.6306821132776,-1.3944652293767,-6.2294876285208
0.385,-7.4000845768873,-1.4257067408324,-6.2670645452462
0.39,-7.1694870404971,-1.4571332544026,-6.3034884742897
0.395,-6.9388895041069,-1.4887390051488,-6.3387594156512
0.4,-6.7082919677165,-1.5205182281326,-6.3728773693307
0.405,-6.4776944313263,-1.5524651584155,-6.4058423353283
0.41,-6.247096894936,-1.5845740310593,-6.437654313644
0.415,-6.0164993585458,-1.6168390811254,-6.4683133042777
0.42,-5.7859018221555,-1.6492545436755,-6.4978193072294
0.425,-5.5553042857653,-1.6818146537712,-6.5261723224992
0.43,-5.3247067493751,-1.714513646474,-6.5533723500871
0.435,-5.0941092129847,-1.7473457568455,-6.579419389993
0.44,-4.8635116765945,-1.7803052199473,-6.6043134422169
0.445,-4.6329141402042,-1.8133862708411,-6.6280545067589
0.45,-4.402316603814,-1.8465831445884,-6.650642583619
0.455,-4.1717190674237,-1.8798900762507,-6.6720776727971
