time,ground_displacement,relative_displacement,roof_displacement
-5,0,0,0
-4.99,-0.031875796759261,-0.031987503166014,0.00011170640675303
-4.98,-0.1204069219326,-0.12171829845089,0.0013113765182911
-4.97,-0.25161669301819,-0.25804516240011,0.0064284693819114
-4.96,-0.41203221436638,-0.42939457205626,0.017362357689879
-4.95,-0.58882563041008,-0.61666372194212,0.027838091532041
-4.94,-0.76994837311454,-0.79242064840571,0.02247227529117
-4.93,-0.94425617651359,-0.92930149848539,-0.014954678028199
-4.92,-1.101622779896,-1.0051632314966,-0.096459548399489
-4.91,-1.2330404226095,-1.0066737603731,-0.22636666223644
-4.9,-1.3307054446991,-0.93528259154054,-0.39542285315852
-4.89,-1.3880875453654,-0.80403263575326,-0.58405490961215
-4.88,-1.3999815117637,-0.62884169962188,-0.77113981214187
-4.87,-1.3625405098603,-0.42346080010647,-0.93907970975387
-4.86,-1.2732903225207,-0.19382560966126,-1.0794647128594
-4.85,-1.1311242230919,0.065706342521967,-1.1968305656139
-4.84,-0.9362784806837,0.36439852508299,-1.3006770057667
-4.83,-0.69028880129482,0.70561526605076,-1.3959040673456
-4.82,-0.39592831201548,1.0898504690661,-1.4857787810816
-4.81,-0.057127988986847,1.5094521863853,-1.5665801753722
-4.8,0.32111929101415,1.9437343678762,-1.622615076862
-4.79,0.73286963497162,2.3742507776632,-1.6413811426916
-4.78,1.1713522758634,2.7884785834358,-1.6171263075725
-4.77,1.6291050833498,3.1756058749868,-1.546500791637
-4.76,2.0981193721556,3.5274589145298,-1.4293395423741
-4.75,2.569991788706,3.8357257364351,-1.265733947729
-4.74,3.0360809429569,4.0850027922591,-1.0489218493022
-4.73,3.4876663755806,4.2500231161973,-0.76235674061673
-4.72,3.9161074119431,4.3051192371536,-0.38901182521053
-4.71,4.3129994542469,4.2232705423122,0.089728911934684
-4.7,4.6703253018156,3.9870835941132,0.68324170770247
-4.69,4.9805991661498,3.6006727832142,1.3799263829356
-4.68,5.237001160882,3.0757907643015,2.1612103965805
-4.67,5.433500195311,2.4329772451049,3.0005229502061
-4.66,5.5649633814534,1.6975793836692,3.8673839977842
-4.65,5.6272502756597,0.88955459056328,4.7376956850965
-4.64,5.6172905134732,0.018967823637253,5.598322689836
-4.63,5.533143656806,-0.90962987864276,6.4427735354488
-4.62,5.3740403515722,-1.886845082812,7.2608854343842
