time,acceleration,velocity,displacement
0.45500,0.00001,0.00191,0.00038
0.46000,0.00000,0.00193,0.00039
0.46500,0.00000,0.00194,0.00040
0.47000,-0.00002,0.00190,0.00041
0.47500,-0.00002,0.00181,0.00042
0.48000,-0.00001,0.00173,0.00043
0.48500,-0.00003,0.00161,0.00044
0.49000,-0.00002,0.00147,0.00044
0.49500,-0.00003,0.00136,0.00045
0.50000,-0.00002,0.00125,0.00046
0.50500,0.00001,0.00124,0.00046
0.51000,0.00001,0.00128,0.00047
0.51500,0.00003,0.00137,0.00048
0.52000,0.00003,0.00152,0.00048
0.52500,0.00005,0.00173,0.00049
0.53000,0.00004,0.00196,0.00050
0.53500,0.00001,0.00209,0.00051
0.54000,0.00003,0.00218,0.00052
0.54500,0.00001,0.00227,0.00053
0.55000,0.00001,0.00232,0.00054
0.55500,0.00002,0.00239,0.00056
0.56000,0.00002,0.00251,0.00057
0.56500,0.00002,0.00263,0.00058
0.57000,0.00002,0.00274,0.00059
0.57500,0.00002,0.00284,0.00061
0.58000,0.00001,0.00292,0.00062
0.58500,0.00001,0.00297,0.00064
0.59000,0.00001,0.00302,0.00065
0.59500,-0.00002,0.00301,0.00067
0.60000,-0.00001,0.00295,0.00068
0.60500,0.00000,0.00292,0.00070
0.61000,-0.00004,0.00281,0.00071
0.61500,-0.00003,0.00263,0.00072
0.62000,-0.00003,0.00248,0.00074
0.62500,-0.00003,0.00234,0.00075
0.63000,-0.00001,0.00224,0.00076
0.63500,-0.00002,0.00217,0.00077
0.64000,-0.00001,0.00210,0.00078
0.64500,0.00000,0.00207,0.00079
0.65000,0.00000,0.00207,0.00080
0.65500,-0.00001,0.00205,0.00081
0.66000,-0.00002,0.00198,0.00082
0.66500,-0.00001,0.00191,0.00083
0.67000,-0.00003,0.00181,0.00084
0.67500,-0.00003,0.00167,0.00085
0.68000,-0.00005,0.00149,0.00086
0.68500,-0.00003,0.00131,0.00087
0.69000,0.00002,0.00128,0.00087
0.69500,0.00002,0.00136,0.00088
0.70000,0.00001,0.00144,0.00089
0.70500,0.00000,0.00148,0.00089
0.71000,0.00001,0.00153,0.00090
0.71500,0.00000,0.00157,0.00091
0.72000,-0.00002,0.00152,0.00092
0.72500,0.00000,0.00147,0.00092
0.73000,0.00000,0.00148,0.00093
0.73500,0.00001,0.00150,0.00094
0.74000,0.00002,0.00157,0.00095
0.74500,0.00002,0.00168,0.00096
0.75000,0.00003,0.00182,0.00096
0.75500,0.00003,0.00197,0.00097
0.76000,0.00001,0.00208,0.00098
0.76500,-0.00001,0.00209,0.00099
0.77000,-0.00002,0.00202,0.00100
0.77500,-0.00003,0.00191,0.00101
0.78000,-0.00004,0.00175,0.00102
0.78500,-0.00004,0.00156,0.00103
0.79000,-0.00004,0.00135,0.00104
0.79500,-0.00003,0.00117,0.00105
0.80000,-0.00002,0.00107,0.00105
0.80500,-0.00001,0.00102,0.00106
0.81000,0.00002,0.00104,0.00106
0.81500,0.00004,0.00118,0.00107
0.82000,0.00005,0.00141,0.00107
0.82500,0.00005,0.00164,0.00108
0.83000,0.00004,0.00186,0.00109
0.83500,0.00004,0.00206,0.00110
0.84000,0.00004,0.00225,0.00111
0.84500,0.00002,0.00239,0.00112
0.85000,0.00003,0.00251,0.00113
0.85500,0.00003,0.00265,0.00115
0.86000,0.00002,0.00278,0.00116
0.86500,0.00003,0.00291,0.00117
0.87000,0.00002,0.00301,0.00119
0.87500,0.00001,0.00309,0.00120
0.88000,-0.00001,0.00311,0.00122
0.88500,-0.00002,0.00304,0.00124
0.89000,-0.00005,0.00287,0.00125
0.89500,-0.00005,0.00261,0.00126
0.90000,-0.00004,0.00237,0.00128
0.90500,-0.00005,0.00214,0.00129
0.91000,-0.00005,0.00190,0.00130
0.91500,-0.00004,0.00168,0.00131
0.92000,-0.00001,0.00156,0.00131
0.92500,0.00000,0.00155,0.00132
0.93000,0.00001,0.00159,0.00133
0.93500,0.00003,0.00170,0.00134
0.94000,0.00004,0.00188,0.00135
0.94500,0.00006,0.00212,0.00136
0.95000,0.00004,0.00237,0.00137
0.95500,0.00004,0.00257,0.00138
0.96000,0.00005,0.00279,0.00139
0.96500,0.00004,0.00300,0.00141
0.97000,0.00001,0.00313,0.00142
0.97500,-0.00002,0.00310,0.00144
0.98000,-0.00002,0.00299,0.00146
0.98500,-0.00002,0.00289,0.00147
0.99000,-0.00004,0.00274,0.00148
0.99500,-0.00003,0.00256,0.00150
1.00000,-0.00003,0.00240,0.00151
1.00500,-0.00001,0.00229,0.00152
1.01000,0.00000,0.00225,0.00153
1.01500,-0.00002,0.00221,0.00154
1.02000,0.00001,0.00220,0.00155
1.02500,0.00003,0.00231,0.00157
1.03000,0.00002,0.00244,0.00158
1.03500,-0.00001,0.00247,0.00159
1.04000,-0.00001,0.00243,0.00160
1.04500,0.00002,0.00247,0.00161
1.05000,0.00001,0.00254,0.00163
1.05500,0.00000,0.00255,0.00164
1.06000,0.00002,0.00261,0.00165
1.06500,0.00004,0.00277,0.00167
1.07000,0.00004,0.00297,0.00168
1.07500,0.00003,0.00314,0.00170
1.08000,0.00005,0.00332,0.00171
1.08500,0.00003,0.00350,0.00173
1.09000,0.00001,0.00361,0.00175
1.09500,0.00001,0.00368,0.00177
1.10000,-0.00003,0.00364,0.00178
1.10500,-0.00003,0.00349,0.00180
1.11000,-0.00002,0.00337,0.00182
1.11500,-0.00003,0.00325,0.00184
1.12000,-0.00002,0.00313,0.00185
1.12500,0.00000,0.00307,0.00187
1.13000,0.00002,0.00311,0.00188
1.13500,0.00000,0.00316,0.00190
1.14000,0.00001,0.00319,0.00191
1.14500,0.00004,0.00330,0.00193
1.15000,0.00004,0.00349,0.00195
1.15500,0.00005,0.00373,0.00196
1.16000,0.00005,0.00399,0.00198
1.16500,0.00006,0.00427,0.00200
1.17000,0.00006,0.00456,0.00203
1.17500,0.00004,0.00479,0.00205
1.18000,0.00002,0.00494,0.00207
1.18500,-0.00001,0.00497,0.00210
1.19000,-0.00001,0.00491,0.00212
1.19500,-0.00003,0.00482,0.00215
1.20000,-0.00007,0.00458,0.00217
1.20500,-0.00005,0.00430,0.00219
1.21000,-0.00004,0.00409,0.00221
1.21500,-0.00003,0.00392,0.00223
1.22000,-0.00001,0.00380,0.00225
1.22500,-0.00001,0.00375,0.00227
1.23000,0.00002,0.00378,0.00229
1.23500,0.00003,0.00390,0.00231
1.24000,0.00002,0.00400,0.00233
1.24500,0.00003,0.00412,0.00235
1.25000,0.00003,0.00428,0.00237
1.25500,0.00004,0.00446,0.00239
1.26000,0.00003,0.00463,0.00242
1.26500,0.00000,0.00472,0.00244
1.27000,-0.00001,0.00471,0.00246
1.27500,-0.00003,0.00461,0.00249
1.28000,-0.00004,0.00445,0.00251
1.28500,-0.00005,0.00423,0.00253
1.29000,-0.00006,0.00397,0.00255
1.29500,-0.00004,0.00374,0.00257
1.30000,-0.00004,0.00356,0.00259
1.30500,-0.00002,0.00342,0.00261
1.31000,-0.00001,0.00336,0.00262
1.31500,0.00001,0.00337,0.00264
1.32000,0.00003,0.00348,0.00266
1.32500,0.00001,0.00360,0.00268
1.33000,0.00002,0.00369,0.00269
1.33500,0.00001,0.00377,0.00271
1.34000,-0.00001,0.00376,0.00273
1.34500,-0.00001,0.00372,0.00275
1.35000,-0.00002,0.00366,0.00277
1.35500,-0.00001,0.00358,0.00279
1.36000,-0.00001,0.00353,0.00280
1.36500,-0.00002,0.00346,0.00282
1.37000,0.00000,0.00340,0.00284
1.37500,0.00000,0.00340,0.00286
1.38000,0.00002,0.00344,0.00287
1.38500,0.00004,0.00358,0.00289
1.39000,0.00003,0.00373,0.00291
1.39500,0.00003,0.00388,0.00293
