time,ground_displacement,relative_displacement,roof_displacement
-5,0,0,0
-4.99,0.0024739788671781,0.0024826472061397,-8.6683389615801e-06
-4.98,0.01480485707845,0.014925756711923,-0.00012089963347312
-4.97,0.046694084787025,0.047440514683829,-0.00074642989680401
-4.96,0.10753466529095,0.11027951932982,-0.0027448540388681
-4.95,0.20626302175999,0.21306737378027,-0.006804352020284
-4.94,0.35121806450388,0.36326704346969,-0.012048978965816
-4.93,0.55000968137531,0.56494146316748,-0.014931781792176
-4.92,0.80939872529257,0.81836132546796,-0.0089626001753845
-4.91,1.1351903915503,1.1202814375405,0.014908954009765
-4.9,1.5321426664218,1.4650910262023,0.067051640219522
-4.89,2.0038912908734,1.8464828466701,0.15740844420323
-4.88,2.552892422757,2.2585822644995,0.29431015825745
-4.87,3.1803839017343,2.6962468466127,0.48413705512156
-4.86,3.8863657278052,3.154581135504,0.73178459230118
-4.85,4.6696000613083,3.6275985558528,1.0420015054555
-4.84,5.5276307443914,4.1069205512717,1.4207101931197
-4.83,6.4568220360882,4.5815778475049,1.8752441885834
-4.82,7.4524159501255,5.038312562597,2.4141033875285
-4.81,8.5086072912087,5.4621566085967,3.046450682612
-4.8,9.6186352064194,5.8379505329536,3.7806846734658
-4.79,10.774889807905,6.1513883652125,4.6235014426924
-4.78,11.969032185356,6.3887951553105,5.5802370300451
-4.77,13.192125915602,6.5368687894042,6.6552571261975
-4.76,14.434777995345,6.5825975706502,7.8521804246949
-4.75,15.687286974432,6.5132852823829,9.1740016920496
-4.74,16.93979595352,6.3173199372437,10.622476016276
-4.73,18.182448033263,5.9858403540557,12.196607679208
-4.72,19.405541763509,5.5141979771106,13.891343786399
-4.71,20.59968414096,4.9030004382352,15.696683702725
-4.7,21.755938742446,4.1585090739887,17.597429668457
-4.69,22.865966657656,3.2912442585618,19.574722399095
-4.68,23.92215799874,2.3143567898182,21.607801208922
-4.67,24.917751912777,1.2425817709929,23.675170141784
-4.66,25.846943204474,0.091162645673133,25.755780558801
-4.65,26.704973887557,-1.1243566252566,27.829330512814
-4.64,27.48820822106,-2.3872309888368,29.875439209897
-4.63,28.194190047131,-3.6784025693941,31.872592616525
-4.62,28.821681526109,-4.976306160584,33.797987686693
-4.61,29.370682657992,-6.2572123314651,35.627894989458
-4.6,29.842431282444,-7.4960780136928,37.338509296137
-4.59,30.239383557316,-8.6678525547056,38.907236112021
-4.58,30.565175223574,-9.7480996913666,40.31327491494
-4.57,30.824564267491,-10.713419546346,41.537983813837
-4.56,31.023355884362,-11.541352144792,42.564708029155
-4.55,31.168310927106,-12.209601409712,43.377912336818
-4.54,31.267039283575,-12.69596086144,43.963000145016
-4.53,31.327879864079,-12.979433079396,44.307312943475
-4.52,31.359769091788,-13.041896764912,44.401665856699
-4.51,31.372099969999,-12.869735302505,44.241835272504
-4.5,31.374573948866,-12.455526651483,43.830100600349
-4.49,31.377047927734,-11.798951773429,43.175999701162
-4.48,31.389378805945,-10.906327062901,42.295705868846
-4.47,31.421268033653,-9.7892876197308,41.210555653384
-4.46,31.482108614157,-8.4632589832784,39.945367597436
-4.45,31.580836970626,-6.9464300024621,38.527266973088
-4.44,31.72579201337,-5.2595216235647,36.985313636935
-4.43,31.924583630241,-3.426106264868,35.350689895109
-4.42,32.183972674159,-1.4729969147765,33.656969588935
-4.41,32.509764340416,0.56941805519279,31.940346285224
-4.4,32.906716615288,2.6673755866683,30.239341028619
-4.39,33.378465239739,4.7849326455178,28.593532594221
-4.38,33.927466371623,6.8855248531092,27.041941518514
-4.37,34.5549578506,8.9329290987117,25.622028751888
-4.36,35.260939676671,10.891374880488,24.369564796183
-4.35,36.044174010174,12.725498271497,23.318675738677
-4.34,36.902204693257,14.400036861305,22.502167831952
-4.33,37.831395984953,15.879295824795,21.952100160159
-4.32,38.826989898991,17.127754823544,21.699235075447
-4.31,39.883181240074,18.111864985946,21.771316254128
-4.3,40.993209155284,18.802130477142,22.191078678142
-4.29,42.14946375677,19.175192188169,22.974271568601
-4.28,43.34360613422,19.215336679323,24.128269454898
-4.27,44.566699864466,18.914734567622,25.651965296844
-4.26,45.80935194421,18.272805951765,27.536545992444
-4.25,47.061860923297,17.295399893492,29.766461029805
